date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:44	915/915	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:776d5d007262c913910819c7ab487495%22	https://localnewshub.in/robots.txt		(from )
11:41:45	176867/176867	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:ddc009c71201a96fde0d6394a6d83eb5%22	https://localnewshub.in/	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/index.html	(from )
11:41:45	112211/112211	---M--	200	added ('OK')	text/javascript	etag:779%20/%2020387%20/%20m202510210101%20/%20config-hash:%20557318976170286417	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Users/0/Desktop/New%20folder%20(4)/ads/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://localnewshub.in/)
11:41:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:47%20GMT	http://localnewshub.in/cdn/shop/files/LOCALNEWSHUB_1__edited.png?height=628&pad_color=ffffff&v=1701764040&width=1200	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/files/LOCALNEWSHUB_1__edited.2ab8b.delayed	(from https://localnewshub.in/)
11:41:48	333466/333466	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2026%20Oct%202025%2006:11:47%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/0/Desktop/New%20folder%20(4)/ads/connect.facebook.net/en_US/fbevents.js	(from https://localnewshub.in/)
11:41:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:49%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/constants.js?v=132983761750457495441727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/constants8a7e.js	(from https://localnewshub.in/)
11:41:50	149649/149649	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Sep%202025%2019:53:56%20GMT	https://localnewshub.in/cdn/shop/files/LOCALNEWSHUB_1__edited.png?height=628&pad_color=ffffff&v=1701764040&width=1200	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/files/LOCALNEWSHUB_1__editedab8b.png	(from https://localnewshub.in/)
11:41:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:51%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/pubsub.js?v=158357773527763999511727673052	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/pubsubfb57.js	(from https://localnewshub.in/)
11:41:51	258/258	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2024%20Oct%202025%2020:49:09%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/constants.js?v=132983761750457495441727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/constants8a7e.js	(from https://localnewshub.in/)
11:41:51	476/476	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2015%20Oct%202025%2021:04:08%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/pubsub.js?v=158357773527763999511727673052	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/pubsubfb57.js	(from https://localnewshub.in/)
11:41:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:52%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/global.js?v=88558128918567037191727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/global2f3b.js	(from https://localnewshub.in/)
11:41:51	32539/32539	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2012%20Aug%202025%2006:00:18%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/global.js?v=88558128918567037191727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/global2f3b.js	(from https://localnewshub.in/)
11:41:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:53%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/details-disclosure.js?v=13653116266235556501727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/details-disclosuree322.js	(from https://localnewshub.in/)
11:41:52	1440/1440	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2015%20Oct%202025%2021:05:03%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/details-disclosure.js?v=13653116266235556501727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/details-disclosuree322.js	(from https://localnewshub.in/)
11:41:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:53%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/details-modal.js?v=25581673532751508451727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/details-modalb361.js	(from https://localnewshub.in/)
11:41:52	1554/1554	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2017%20Sep%202025%2018:44:28%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/details-modal.js?v=25581673532751508451727673051	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/details-modalb361.js	(from https://localnewshub.in/)
11:41:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:54%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/search-form.js?v=133129549252120666541727673052	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/search-form4169.js	(from https://localnewshub.in/)
11:41:52	994/994	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2011%20Jul%202025%2014:59:52%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/search-form.js?v=133129549252120666541727673052	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/search-form4169.js	(from https://localnewshub.in/)
11:41:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:54%20GMT	http://localnewshub.in/cdn/shop/t/4/assets/animations.js?v=88693664871331136111727673050	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/animations7449.js	(from https://localnewshub.in/)
11:41:53	2929/2929	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2009%20Jul%202025%2008:53:23%20GMT	https://localnewshub.in/cdn/shop/t/4/assets/animations.js?v=88693664871331136111727673050	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shop/t/4/assets/animations7449.js	(from https://localnewshub.in/)
11:41:53	4107/4107	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2026%20Oct%202025%2006:11:55%20GMT	https://localnewshub.in/checkouts/internal/preloads.js?locale=en-IN	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/checkouts/internal/preloadsd568.js	(from https://localnewshub.in/)
11:41:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Oct%202025%2006:11:55%20GMT	http://localnewshub.in/cdn/shopifycloud/shop-js/client.js	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shopifycloud/shop-js/client.js	(from https://localnewshub.in/)
11:41:54	877553/877553	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2026%20Oct%202025%2005:16:49%20GMT	https://localnewshub.in/cdn/shopifycloud/shop-js/client.js	C:/Users/0/Desktop/New%20folder%20(4)/ads/localnewshub.in/cdn/shopifycloud/shop-js/client.js	(from https://localnewshub.in/)
